"number","relationship","country_iso","country_name","partner_iso","partner_name"
50112,2580,AUS,Australia,IRQ,Iraq
50029,26591,SYR,Syria,YEM,Yemen
49779,17271,IDN,Indonesia,THA,Thailand
49641,25767,SAU,Saudi Arabia,PSE,State of Palestine
49302,7587,CAN,Canada,ITA,Italy
49292,203,AFG,Afghanistan,TJK,Tajikistan
49192,4359,BEL,Belgium,NLD,Netherlands
48933,24575,PRT,Portugal,ESP,Spain
48593,6707,BGR,Bulgaria,TUR,Turkey
48398,26349,LKA,Sri Lanka,GBR,United Kingdom
48278,22871,NLD,Netherlands,RUS,Russia
48139,6715,BGR,Bulgaria,USA,United States of America
48032,9996,CRI,Costa Rica,USA,United States of America
47971,17302,IRN,Iran,ITA,Italy
47623,17963,ITA,Italy,TUR,Turkey
47589,17066,IND,India,NPL,Nepal
47368,24736,QAT,Qatar,ARE,United Arab Emirates
47347,26806,TUN,Tunisia,USA,United States of America
47330,17423,IRN,Iran,ARE,United Arab Emirates
47299,17452,IRQ,Iraq,LBN,Lebanon
47178,24395,PHL,Philippines,VNM,Vietnam
46917,2562,AUS,Australia,GHA,Ghana
46903,2691,AUS,Australia,THA,Thailand
46873,16813,HUN,Hungary,RUS,Russia
46855,17780,ISR,Israel,QAT,Qatar
46733,19858,LBY,Libya,SYR,Syria
46561,19144,KGZ,Kyrgyzstan,UZB,Uzbekistan
46415,25089,RUS,Russia,SRB,Serbia
46233,26248,ZAF,South Africa,ZWE,Zimbabwe
46202,2642,AUS,Australia,PNG,Papua New Guinea
45980,11993,EGY,Egypt,DEU,Germany
45918,2553,AUS,Australia,FJI,Fiji
45886,25101,RUS,Russia,PSE,State of Palestine
45743,17310,IRN,Iran,KWT,Kuwait
45653,8780,CHN,China,MEX,Mexico
45645,10905,DNK,Denmark,GBR,United Kingdom
45572,13754,FRA,France,POL,Poland
45382,8754,CHN,China,KEN,Kenya
45309,13746,FRA,France,PAK,Pakistan
45166,681,DZA,Algeria,USA,United States of America
45129,4788,BEN,Benin,NGA,Nigeria
45080,24720,QAT,Qatar,SYR,Syria
45035,3578,BHR,Bahrain,ARE,United Arab Emirates
45023,17357,IRN,Iran,OMN,Oman
44843,23910,PAK,Pakistan,LKA,Sri Lanka
44804,8435,TCD,Chad,SDN,Republic of the Sudan
44516,18237,JAM,Jamaica,GBR,United Kingdom
44388,8783,CHN,China,MNG,Mongolia
